,,,,,,,    Employment Size of the Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,Aerospace Product and Parts Manufacturing,Employment,"375,169",0,584,"1,250","2,670","4,504","13,497","17,640","35,641","339,528",,,,,,,,,,,,,,,,,,,,,,,,
3364,Aerospace Product and Parts Manufacturing,"Annual Payroll ($1,000)","22,306,143","30,052","19,648","44,238","107,489","201,427","598,420","786,699","1,586,546","20,719,597",,,,,,,,,,,,,,,,,,,,,,,,
33641,Aerospace Product and Parts Manufacturing,Firms,"1,243",87,262,182,194,725,314,112,"1,151",92,,,,,,,,,,,,,,,,,,,,,,,,
33641,Aerospace Product and Parts Manufacturing,Establishments,"1,584",87,262,182,194,725,320,139,"1,184",400,,,,,,,,,,,,,,,,,,,,,,,,
33641,Aerospace Product and Parts Manufacturing,Employment,"375,169",0,584,"1,250","2,670","4,504","13,497","17,640","35,641","339,528",,,,,,,,,,,,,,,,,,,,,,,,
33641,Aerospace Product and Parts Manufacturing,"Annual Payroll ($1,000)","22,306,143","30,052","19,648","44,238","107,489","201,427","598,420","786,699","1,586,546","20,719,597",,,,,,,,,,,,,,,,,,,,,,,,
336411,Aircraft Manufacturing,Firms,226,35,68,23,26,152,31,14,197,29,,,,,,,,,,,,,,,,,,,,,,,,
336411,Aircraft Manufacturing,Establishments,264,35,68,23,26,152,32,16,200,64,,,,,,,,,,,,,,,,,,,,,,,,
336411,Aircraft Manufacturing,Employment,"148,398",0,153,152,348,653,"1,329","2,881","4,863","143,535",,,,,,,,,,,,,,,,,,,,,,,,
336411,Aircraft Manufacturing,"Annual Payroll ($1,000)","8,893,644","22,081","4,739","5,389","14,420","46,629","54,020","148,530","249,179","8,644,465",,,,,,,,,,,,,,,,,,,,,,,,
336412,Aircraft Engine and Engine Parts Manufacturing,Firms,292,11,46,39,30,126,87,42,255,37,,,,,,,,,,,,,,,,,,,,,,,,
336412,Aircraft Engine and Engine Parts Manufacturing,Establishments,411,11,46,39,30,126,88,50,264,147,,,,,,,,,,,,,,,,,,,,,,,,
336412,Aircraft Engine and Engine Parts Manufacturing,Employment,"70,733",         [a],         [b],270,418,783,"4,167","5,843","10,793","59,940",,,,,,,,,,,,,,,,,,,,,,,,
336412,Aircraft Engine and Engine Parts Manufacturing,"Annual Payroll ($1,000)","4,029,634",         (D),         (D),"10,896","17,833","32,636","187,853","241,919","462,408","3,567,226",,,,,,,,,,,,,,,,,,,,,,,,
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Firms,710,39,138,112,128,417,183,52,652,58,,,,,,,,,,,,,,,,,,,,,,,,
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Establishments,807,39,138,112,128,417,186,64,667,140,,,,,,,,,,,,,,,,,,,,,,,,
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Employment,"89,619",0,318,771,"1,777","2,866","7,376","7,852","18,094","71,525",,,,,,,,,,,,,,,,,,,,,,,,
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,"Annual Payroll ($1,000)","4,857,365","7,319","11,066","26,350","69,886","114,621","326,557","344,917","786,095","4,071,270",,,,,,,,,,,,,,,,,,,,,,,,
336414,Guided Missile and Space Vehicle Manufacturing,Firms,10,0,0,0,1,1,1,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,
336414,Guided Missile and Space Vehicle Manufacturing,Establishments,19,0,0,0,1,1,1,1,3,16,,,,,,,,,,,,,,,,,,,,,,,,
336414,Guided Missile and Space Vehicle Manufacturing,Employment,"44,988",0,0,0,         [a],         [a],         [b],         [c],170,"44,818",,,,,,,,,,,,,,,,,,,,,,,,
336414,Guided Missile and Space Vehicle Manufacturing,"Annual Payroll ($1,000)","3,167,642",0,0,0,         (D),         (D),         (D),         (D),"8,259","3,159,383",,,,,,,,,,,,,,,,,,,,,,,,
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,Firms,15,1,2,1,1,5,2,1,8,7,,,,,,,,,,,,,,,,,,,,,,,,
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,Establishments,27,1,2,1,1,5,2,1,8,19,,,,,,,,,,,,,,,,,,,,,,,,
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,Employment,"14,226",         [a],         [a],         [a],         [a],         [b],         [b],         [c],191,"14,035",,,,,,,,,,,,,,,,,,,,,,,,
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,"Annual Payroll ($1,000)","946,315",         (D),         (D),         (D),         (D),         (D),         (D),         (D),"8,817","937,498",,,,,,,,,,,,,,,,,,,,,,,,
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,Firms,52,1,8,7,8,24,11,7,42,10,,,,,,,,,,,,,,,,,,,,,,,,
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,Establishments,56,1,8,7,8,24,11,7,42,14,,,,,,,,,,,,,,,,,,,,,,,,
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,Employment,"7,205",         [a],         [a],         [b],         [c],         [c],540,         [f],"1,530","5,675",,,,,,,,,,,,,,,,,,,,,,,,
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,"Annual Payroll ($1,000)","411,543",         (D),         (D),         (D),         (D),         (D),"26,368",         (D),"71,788","339,755",,,,,,,,,,,,,,,,,,,,,,,,
3365,Railroad Rolling Stock Manufacturing,Firms,142,9,18,18,26,71,33,18,122,20,,,,,,,,,,,,,,,,,,,,,,,,
3365,Railroad Rolling Stock Manufacturing,Establishments,194,9,18,18,26,71,35,27,133,61,,,,,,,,,,,,,,,,,,,,,,,,
3365,Railroad Rolling Stock Manufacturing,Employment,"24,757",0,42,123,371,536,"1,555","2,896","4,987","19,770",,,,,,,,,,,,,,,,,,,,,,,,
3365,Railroad Rolling Stock Manufacturing,"Annual Payroll ($1,000)","1,165,049","1,095","1,589","4,259","15,538","22,481","57,328","110,464","190,273","974,776",,,,,,,,,,,,,,,,,,,,,,,,
33651,Railroad Rolling Stock Manufacturing,Firms,142,9,18,18,26,71,33,18,122,20,,,,,,,,,,,,,,,,,,,,,,,,
33651,Railroad Rolling Stock Manufacturing,Establishments,194,9,18,18,26,71,35,27,133,61,,,,,,,,,,,,,,,,,,,,,,,,
33651,Railroad Rolling Stock Manufacturing,Employment,"24,757",0,42,123,371,536,"1,555","2,896","4,987","19,770",,,,,,,,,,,,,,,,,,,,,,,,
33651,Railroad Rolling Stock Manufacturing,"Annual Payroll ($1,000)","1,165,049","1,095","1,589","4,259","15,538","22,481","57,328","110,464","190,273","974,776",,,,,,,,,,,,,,,,,,,,,,,,
336510,Railroad Rolling Stock Manufacturing,Firms,142,9,18,18,26,71,33,18,122,20,,,,,,,,,,,,,,,,,,,,,,,,
336510,Railroad Rolling Stock Manufacturing,Establishments,194,9,18,18,26,71,35,27,133,61,,,,,,,,,,,,,,,,,,,,,,,,
336510,Railroad Rolling Stock Manufacturing,Employment,"24,757",0,42,123,371,536,"1,555","2,896","4,987","19,770",,,,,,,,,,,,,,,,,,,,,,,,
336510,Railroad Rolling Stock Manufacturing,"Annual Payroll ($1,000)","1,165,049","1,095","1,589","4,259","15,538","22,481","57,328","110,464","190,273","974,776",,,,,,,,,,,,,,,,,,,,,,,,
3366,Ship and Boat Building,Firms,"1,621",142,524,251,233,"1,150",288,135,"1,573",48,,,,,,,,,,,,,,,,,,,,,,,,
3366,Ship and Boat Building,Establishments,"1,739",142,524,251,235,"1,152",291,170,"1,613",126,,,,,,,,,,,,,,,,,,,,,,,,
3366,Ship and Boat Building,Employment,"133,395",0,"1,116","1,692","3,171","5,979","12,191","26,700","44,870","88,525",,,,,,,,,,,,,,,,,,,,,,,,
3366,Ship and Boat Building,"Annual Payroll ($1,000)","5,119,596","20,275","33,344","45,977","101,900","201,496","402,540","922,245","1,526,281","3,593,315",,,,,,,,,,,,,,,,,,,,,,,,
33661,Ship and Boat Building,Firms,"1,621",142,524,251,233,"1,150",288,135,"1,573",48,,,,,,,,,,,,,,,,,,,,,,,,
33661,Ship and Boat Building,Establishments,"1,739",142,524,251,235,"1,152",291,170,"1,613",126,,,,,,,,,,,,,,,,,,,,,,,,
33661,Ship and Boat Building,Employment,"133,395",0,"1,116","1,692","3,171","5,979","12,191","26,700","44,870","88,525",,,,,,,,,,,,,,,,,,,,,,,,
33661,Ship and Boat Building,"Annual Payroll ($1,000)","5,119,596","20,275","33,344","45,977","101,900","201,496","402,540","922,245","1,526,281","3,593,315",,,,,,,,,,,,,,,,,,,,,,,,
336611,Ship Building and Repairing,Firms,564,30,156,82,92,360,112,62,534,30,,,,,,,,,,,,,,,,,,,,,,,,
